hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
ISMEN;izle;;27,9;3,9;16,0;8,1;0;0;zayif;21,9;47,1;60,5;asagi;zayif;zayif;asagi;0,38;-1,62;2;33,38;0,48;78795092;34,47;AL;NEGATIF;AL;POZITIF;AZALIYOR;AL;AL;UCUZ (AL);5;01.09.2026
IHLGM;izle;;27,8;3,7;16,1;8,0;0;0;zayif;21,6;50,0;83,5;asagi;zayif;zayif;asagi;0,30;-1,48;1;1,61;1,26;10305909;1,69;AL;NEGATIF;AL;POZITIF;AZALIYOR;AL;SAT;UCUZ (AL);4;01.09.2026
TEKTU;izle;;27,4;2,1;17,2;8,0;0;0;zayif;17,5;52,8;69,0;asagi;zayif;zayif;asagi;0,30;-0,97;0;8,09;-0,12;16610639;8,40;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;AL;UCUZ (AL);5;01.09.2026
ADESE;izle;;27,4;7,0;16,2;4,2;8;0;zayif;31,8;45,9;50,2;asagi;zayif;zayif;asagi;0,20;-1,43;0;0,86;1,18;20688680;0,93;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);2;01.09.2026
TUKAS;izle;;27,0;1,4;16,3;9,3;8;0;zayif;21,9;48,2;56,4;asagi;zayif;zayif;asagi;0,52;-1,68;1;2,03;0,50;55575340;2,12;AL;NEGATIF;SAT;POZITIF;AZALIYOR;AL;SAT;UCUZ (AL);3;01.09.2026
ISSEN;izle;;26,8;0,1;18,0;8,7;0;0;zayif;12,2;48,4;57,5;asagi;zayif;zayif;asagi;0,41;-1,08;0;6,96;0,43;2522144;7,43;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
PNLSN;izle;;26,8;11,3;6,8;8,7;0;0;zayif;14,0;40,2;64,0;yukari;zayif;zayif;asagi;0,24;-1,65;1;41,28;0,58;10916248;40,62;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
HATEK;izle;;26,7;10,7;16,0;0,0;22;2;zayif;18,9;46,3;55,8;yukari;zayif;zayif;asagi;0,22;-1,51;1;12,86;-0,39;8296346;11,48;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;AL;SAT;UCUZ (AL);3;01.09.2026
CRDFA;izle;;26,7;5,4;11,3;9,9;22;2;zayif;39,8;36,1;25,0;asagi;zayif;zayif;asagi;1,29;-2,86;0;27,2;8,80;76481586;30,86;AL;NEGATIF;SAT;POZITIF;ARTIYOR;AL;AL;NOTR;4;01.09.2026
EGSER;izle;;26,6;4,0;14,5;8,1;0;0;zayif;22,2;43,2;74,7;asagi;zayif;zayif;asagi;0,10;-1,07;1;2,91;0,00;957221;3,13;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
MOBTL;izle;;26,5;13,2;9,3;4,0;22;2;zayif;13,4;42,2;45,7;asagi;zayif;zayif;asagi;0,33;-1,44;2;12,86;-0,54;17220067;14,35;SAT;NEGATIF;NOTR;POZITIF;AZALIYOR;AL;SAT;NOTR;2;01.09.2026
A1YEN;izle;;26,5;1,5;16,9;8,0;0;0;zayif;16,0;45,1;72,2;asagi;zayif;zayif;asagi;0,14;-1,17;1;2,76;0,36;8514018;2,98;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
PKENT;izle;;26,4;3,9;13,6;8,9;0;0;zayif;22,1;43,7;54,2;asagi;zayif;zayif;asagi;0,38;-1,88;2;125,7;0,08;7372556;136,60;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);2;01.09.2026
NTHOL;izle;;26,3;10,8;8,5;7,0;40;5;zayif;13,1;41,3;42,9;asagi;zayif;zayif;asagi;0,49;-0,86;2;42,78;-0,14;40800013;46,89;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
MRSHL;izle;;26,2;14,1;8,1;4,0;0;0;zayif;18,4;41,2;53,7;yukari;zayif;zayif;asagi;0,21;-1,13;2;1607;-1,77;18973849;1560,78;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;AL;NOTR;1;01.09.2026
ASGYO;izle;;26,2;3,8;13,5;8,9;0;0;zayif;21,9;43,0;53,9;asagi;zayif;zayif;asagi;0,40;-1,47;0;10,99;0,46;13479785;11,76;AL;NEGATIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;3;01.09.2026
TLMAN;izle;;26,1;5,4;12,7;8,0;0;0;zayif;26,0;40,6;59,5;asagi;zayif;zayif;asagi;0,22;-1,93;2;79,3;-0,69;3034415;85,09;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);2;01.09.2026
CONSE;izle;;25,6;3,3;14,0;8,3;6;0;zayif;20,6;44,9;49,6;asagi;zayif;zayif;asagi;0,72;-1,94;3;2,29;0,88;10827976;2,44;AL;NEGATIF;AL;POZITIF;ARTIYOR;AL;SAT;UCUZ (AL);4;01.09.2026
SNICA;izle;;25,4;12,3;13,1;0,0;0;0;zayif;23,1;42,0;59,8;yukari;zayif;zayif;asagi;0,22;-2,32;2;3,25;0,93;13490406;3,10;AL;NEGATIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;3;01.09.2026
INTEM;izle;;25,3;12,2;8,6;4,6;6;0;zayif;22,7;42,7;48,2;yukari;zayif;zayif;asagi;0,32;-1,27;3;248,4;-0,84;4923040;237,10;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
SKYLP;izle;;25,3;11,7;5,6;8,0;6;0;zayif;17,4;37,1;27,7;yukari;zayif;zayif;asagi;0,47;-2,28;3;226,5;-0,66;6553778;224,44;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
OYAYO;izle;;25,2;8,0;13,2;4,0;0;0;zayif;8,1;42,4;39,6;yukari;zayif;zayif;asagi;0,49;-1,69;2;43,1;1,08;1481476;41,73;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;3;01.09.2026
AYCES;izle;;25,2;0,1;16,0;9,1;6;0;zayif;12,2;45,7;68,1;asagi;zayif;zayif;asagi;0,77;-2,25;3;458;2,00;43718848;489,81;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;3;01.09.2026
VKGYO;izle;;25,1;2,0;13,1;10,0;0;0;zayif;26,8;42,0;48,4;asagi;zayif;zayif;asagi;0,17;-2,16;0;1,91;0,00;5149480;2,01;AL;NEGATIF;SAT;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
THYAO;izle;;25,0;4,6;13,8;6,7;0;0;zayif;13,0;42,5;40,5;asagi;zayif;zayif;asagi;0,33;-1,28;2;302,25;0,00;4485566514;321,77;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
AVOD;izle;;24,9;6,6;9,5;8,9;6;0;zayif;28,9;43,9;69,9;asagi;zayif;zayif;asagi;0,60;-1,16;3;3,86;0,78;9875123;4,16;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
AKSEN;izle;;24,8;11,0;5,8;8,0;0;0;zayif;23,1;36,1;51,9;asagi;zayif;zayif;asagi;0,30;-2,31;2;78,4;-1,26;312829955;89,25;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
DMSAS;izle;;24,8;4,1;11,1;9,6;22;2;zayif;22,7;44,4;64,6;asagi;zayif;zayif;asagi;0,23;-0,64;1;8,58;-0,23;4725006;9,08;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);1;01.09.2026
SERNT;izle;;24,7;3,0;13,7;8,0;0;0;zayif;19,7;44,1;63,2;asagi;zayif;zayif;asagi;0,20;-1,75;2;7,94;-0,13;5432262;8,46;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;AL;SAT;NOTR;3;01.09.2026
EGEGY;izle;;24,7;11,0;5,7;8,0;0;0;zayif;19,4;35,7;69,3;asagi;zayif;zayif;asagi;0,35;-2,15;0;26,64;-10,00;28467557;32,95;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;01.09.2026
PENTA;izle;;24,5;0,4;14,2;9,9;0;0;zayif;13,1;42,8;62,0;asagi;zayif;zayif;asagi;0,57;-1,35;0;13,02;-1,36;13133001;13,99;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
KLSER;izle;;24,3;3,4;12,5;8,3;10;1;zayif;20,8;40,1;61,1;asagi;zayif;zayif;asagi;0,22;-2,02;1;24,22;-0,25;7969664;26,04;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
GOODY;izle;;24,2;9,4;10,8;4,0;0;0;zayif;15,6;44,2;76,8;yukari;zayif;zayif;asagi;0,10;-1,07;2;2,61;0,00;9196205;2,60;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
KLNMA;izle;;24,0;8,0;14,1;1,8;0;0;zayif;9,6;44,8;44,8;yukari;zayif;zayif;asagi;0,41;-1,67;1;8,89;0,00;485101;8,79;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
SARKY;izle;;23,9;13,7;9,5;0,7;0;0;zayif;18,1;44,4;59,6;yukari;zayif;zayif;asagi;0,27;-1,13;2;24,78;-1,12;48425696;23,35;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
INFO;izle;;23,8;20,3;3,3;0,1;0;0;zayif;14,2;32,6;23,4;asagi;zayif;zayif;asagi;0,71;-1,70;1;5,46;-7,46;192762499;6,98;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;01.09.2026
DOFRB;izle;;23,7;7,8;11,8;4,2;0;0;zayif;15,2;37,6;52,0;asagi;zayif;zayif;asagi;0,95;-2,29;2;124,2;-1,74;558748724;144,99;AL;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;1;01.09.2026
KUTPO;izle;;23,7;7,0;13,2;3,5;46;5;zayif;35,6;42,4;54,6;asagi;zayif;zayif;asagi;0,34;-1,59;3;80,55;0,19;4315225;86,55;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);2;01.09.2026
SELVA;izle;;23,6;11,7;11,8;0,0;0;0;zayif;21,6;37,8;58,7;yukari;zayif;zayif;asagi;0,26;-2,92;2;1,66;0,00;13689499;1,64;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
TURSG;izle;;23,5;5,9;9,7;7,9;0;0;zayif;11,8;43,9;48,1;asagi;zayif;zayif;asagi;0,43;-1,05;2;6,12;2,51;157914568;6,60;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;01.09.2026
CWENE;izle;;23,4;13,2;10,2;0,0;6;0;zayif;12,5;44,8;25,2;asagi;zayif;zayif;asagi;0,17;-0,88;3;35,96;-4,11;819596508;42,91;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;2;01.09.2026
PLTUR;izle;;23,2;0,9;13,3;9,0;0;0;zayif;18,3;42,8;52,2;asagi;zayif;zayif;asagi;0,40;-1,67;2;20,16;0,50;27700042;22,91;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
ACSEL;izle;;23,2;3,4;11,8;8,0;0;0;zayif;14,7;37,7;38,1;asagi;zayif;zayif;asagi;0,35;-2,19;2;116,7;0,69;5427717;128,24;AL;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;01.09.2026
ARENA;izle;;23,1;2,4;12,7;8,0;0;0;zayif;18,1;40,8;61,8;asagi;zayif;zayif;asagi;0,57;-2,48;2;20,88;0,48;13607580;23,39;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
